timestep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	lx	hpmc_overlap_count	hpmc_patch_energy	time	temp
89330000	0.2080291971	0.2073170732	0.0359193132	0.03890785327	12	0	-13737.79102	40143.84079	0.8949541618
89340000	0.2226720648	0.2554744526	0.03675405189	0.03998048369	12	0	-13726.68652	40159.2245	0.8949541618
89350000	0.1843137255	0.2254545455	0.03741281121	0.04090071188	12	0	-13787.11719	40174.81756	0.8949541618
89360000	0.1618257261	0.150862069	0.03667515828	0.04005082932	12	0	-13741.04297	40190.17902	0.8949541618
89370000	0.1715328467	0.1635687732	0.0364386702	0.03982545505	12	0	-13735.51465	40205.7711	0.8949541618
89380000	0.1787234043	0.2226415094	0.036475311	0.03981344638	12	0	-13726.50488	40221.51885	0.8949541618
89390000	0.219123506	0.1870229008	0.03711344884	0.04068122527	12	0	-13767.11133	40237.44831	0.8949541618
89400000	0.1726907631	0.185483871	0.03635960695	0.03913951352	12	0	-13737.11328	40253.36103	0.8949541618
89410000	0.108	0.2249134948	0.0368812572	0.04017533049	12	0	-13834.27051	40269.00977	0.8949541618
89420000	0.1897810219	0.1961538462	0.03677716217	0.03968322401	12	0	-13610.39844	40284.99134	0.8949541618
89430000	0.2168674699	0.2333333333	0.03737284578	0.04030790121	12	0	-13634.72363	40300.65722	0.8949541618
89440000	0.2194092827	0.2066420664	0.03654149904	0.04029316542	12	0	-13658.32422	40316.3705	0.8949541618
89450000	0.1707317073	0.2415254237	0.03681134591	0.03999755025	12	0	-13637.03809	40332.18192	0.8949541618
89460000	0.2342657343	0.2508833922	0.03699652863	0.04045100506	12	0	-13566.45801	40347.72257	0.8949541618
89470000	0.1658767773	0.1365461847	0.03727176287	0.04040365809	12	0	-13602.65527	40363.50173	0.8949541618
89480000	0.2099236641	0.179389313	0.03649979137	0.04040246056	12	0	-13643.95312	40379.46232	0.8949541618
89490000	0.219858156	0.1851851852	0.03698683894	0.04026356981	12	0	-13710.15332	40395.12171	0.8949541618
89500000	0.2784810127	0.2076923077	0.03668437696	0.04027789381	12	0	-13681.2334	40411.05514	0.8949541618
89510000	0.1776061776	0.1886120996	0.03733446456	0.04054469298	12	0	-13586.8457	40426.85036	0.8949541618
89520000	0.1899641577	0.2269230769	0.03744046045	0.04083165617	12	0	-13632.14648	40442.55134	0.8949541618
89530000	0.2560553633	0.2361623616	0.03692571064	0.04007668542	12	0	-13654.25488	40458.37848	0.8949541618
89540000	0.1943319838	0.2109375	0.03617427906	0.03933443847	12	0	-13719.24316	40473.74804	0.8949541618
89550000	0.1886792453	0.246031746	0.03698203232	0.04011348725	12	0	-13574.46582	40489.34617	0.8949541618
89560000	0.1460176991	0.2095588235	0.03714629626	0.04080515944	12	0	-13552.2373	40504.96877	0.8949541618
89570000	0.2348484848	0.1642335766	0.03695368491	0.04001853135	12	0	-13628.82031	40520.70434	0.8949541618
89580000	0.1794871795	0.2444444444	0.03669139114	0.04003702922	12	0	-13542.16504	40536.36555	0.8949541618
89590000	0.1632653061	0.1660079051	0.03643556419	0.03935868487	12	0	-13687.39941	40552.08586	0.8949541618
89600000	0.2040816327	0.2131782946	0.03674823717	0.04012694569	12	0	-13684.52344	40567.77947	0.8949541618
89610000	0.1914893617	0.202166065	0.03578571751	0.03888192589	12	0	-13841.71289	40583.43914	0.8949541618
89620000	0.197309417	0.2180451128	0.03742020154	0.04074619272	12	0	-13632.26953	40599.1638	0.8949541618
89630000	0.1632653061	0.1631944444	0.03745501003	0.04037700228	12	0	-13631.37012	40614.73949	0.8949541618
89640000	0.2408163265	0.2101167315	0.03718927175	0.04075936846	12	0	-13667.47363	40630.4538	0.8949541618
89650000	0.21875	0.1764705882	0.03641250326	0.03977155604	12	0	-13706.08008	40646.27344	0.8949541618
89660000	0.1777777778	0.1770833333	0.03642849386	0.03962886021	12	0	-13639.54102	40661.84813	0.8949541618
89670000	0.2631578947	0.2446351931	0.03714595017	0.0403459105	12	0	-13652.33398	40677.58645	0.8949541618
89680000	0.2088353414	0.2042553191	0.0372357829	0.04070131808	12	0	-13478.58105	40693.43594	0.8949541618
89690000	0.1806722689	0.2201834862	0.03746569882	0.04072716791	12	0	-13718.82422	40709.20275	0.8949541618
89700000	0.2642276423	0.2103321033	0.0364782282	0.03935246697	12	0	-13590.63574	40724.99285	0.8949541618
89710000	0.2311111111	0.1882845188	0.03691950557	0.03980630594	12	0	-13545.86133	40740.70408	0.8949541618
89720000	0.1875	0.1818181818	0.03559552362	0.03904175231	12	0	-13825.20508	40756.65034	0.8949541618
89730000	0.212543554	0.1774193548	0.03638235325	0.03910844853	12	0	-13542.95996	40772.54863	0.8949541618
89740000	0.2194092827	0.1977186312	0.03642862492	0.03986874976	12	0	-13685.08887	40788.27836	0.8949541618
89750000	0.22	0.1831501832	0.03702473411	0.04036345414	12	0	-13729.92383	40804.00449	0.8949541618
89760000	0.25	0.22	0.03690674324	0.040040139	12	0	-13748.68066	40820.08361	0.8949541618
89770000	0.2100840336	0.1861471861	0.03640207344	0.03924167259	12	0	-13514.91113	40835.94423	0.8949541618
89780000	0.2267657993	0.2362204724	0.0363620935	0.03949962335	12	0	-13672.24902	40851.59111	0.8949541618
89790000	0.2085106383	0.2098214286	0.03690104948	0.04020328465	12	0	-13752.84082	40867.52208	0.8949541618
89800000	0.2025862069	0.2130434783	0.03649113079	0.03960379069	12	0	-13728.08691	40883.28059	0.8949541618
89810000	0.1739130435	0.166023166	0.03748394295	0.04058172624	12	0	-13638.70508	40899.22542	0.8949541618
89820000	0.1967213115	0.1924686192	0.03634198161	0.03946306213	12	0	-13598.05371	40914.84436	0.8949541618
89830000	0.2247557003	0.1779359431	0.03637914147	0.03923117012	12	0	-13790.62402	40930.5829	0.8949541618
